Plate,Ct,Copies.well,Log10
1,20.323,50000,4.698970004
1,20.383,50000,4.698970004
1,22.763,10000,4
1,22.61,10000,4
1,23.493,5000,3.698970004
1,23.423,5000,3.698970004
1,26.058,1000,3
1,25.711,1000,3
1,26.916,500,2.698970004
1,25.807,500,2.698970004
1,29.353,100,2
1,29.214,100,2
1,30.782,50,1.698970004
1,30.667,50,1.698970004
1,33.908,10,1
1,33.158,10,1
2,21.698,50000,4.698970004
2,21.476,50000,4.698970004
2,23.745,10000,4
2,23.441,10000,4
2,24.568,5000,3.698970004
2,24.365,5000,3.698970004
2,26.954,1000,3
2,26.813,1000,3
2,27.975,500,2.698970004
2,27.865,500,2.698970004
2,30.481,100,2
2,30.426,100,2
2,31.809,50,1.698970004
2,31.679,50,1.698970004
2,34.842,10,1
2,33.942,10,1
3,21.721,50000,4.698970004
3,21.596,50000,4.698970004
3,24.106,10000,4
3,24.021,10000,4
3,24.893,5000,3.698970004
3,24.891,5000,3.698970004
3,27.177,1000,3
3,27.277,1000,3
3,28.673,500,2.698970004
3,28.394,500,2.698970004
3,30.622,100,2
3,30.688,100,2
3,31.612,50,1.698970004
3,31.615,50,1.698970004
3,33.119,10,1
3,34.097,10,1
5,21.112,50000,4.698970004
5,20.988,50000,4.698970004
5,23.279,10000,4
5,22.997,10000,4
5,24.344,5000,3.698970004
5,24.278,5000,3.698970004
5,26.698,1000,3
5,26.665,1000,3
5,27.764,500,2.698970004
5,27.863,500,2.698970004
5,30.058,100,2
5,29.639,100,2
5,31.15,50,1.698970004
5,31.25,50,1.698970004
5,33.352,10,1
5,33.374,10,1
6,21.526,50000,4.698970004
6,21.273,50000,4.698970004
6,23.374,10000,4
6,23.301,10000,4
6,24.774,5000,3.698970004
6,24.83,5000,3.698970004
6,26.766,1000,3
6,26.552,1000,3
6,28.351,500,2.698970004
6,28.168,500,2.698970004
6,30.121,100,2
6,30.213,100,2
6,31.615,50,1.698970004
6,31.687,50,1.698970004
6,34.013,10,1
6,33.911,10,1
7,21.149,50000,4.698970004
7,20.934,50000,4.698970004
7,23.173,10000,4
7,23,10000,4
7,24.57,5000,3.698970004
7,24.388,5000,3.698970004
7,26.415,1000,3
7,26.366,1000,3
7,27.961,500,2.698970004
7,27.699,500,2.698970004
7,29.915,100,2
7,30.031,100,2
7,31.402,50,1.698970004
7,31.279,50,1.698970004
7,32.935,10,1
7,33.132,10,1
8,19.777,50000,4.698970004
8,19.607,50000,4.698970004
8,21.67,10000,4
8,21.643,10000,4
8,23.364,5000,3.698970004
8,22.948,5000,3.698970004
8,24.881,1000,3
8,24.919,1000,3
8,26.497,500,2.698970004
8,26.262,500,2.698970004
8,28.392,100,2
8,28.445,100,2
8,29.706,50,1.698970004
8,29.513,50,1.698970004
8,31.876,10,1
8,31.429,10,1
9,21.302,50000,4.698970004
9,20.976,50000,4.698970004
9,23.251,10000,4
9,22.671,10000,4
9,24.496,5000,3.698970004
9,24.058,5000,3.698970004
9,26.337,1000,3
9,26.63,1000,3
9,27.808,500,2.698970004
9,27.753,500,2.698970004
9,30.197,100,2
9,29.657,100,2
9,31.191,50,1.698970004
9,31.338,50,1.698970004
9,33.105,10,1
9,33.539,10,1
10,22.193,50000,4.698970004
10,21.819,50000,4.698970004
10,24.397,10000,4
10,24.29,10000,4
10,25.667,5000,3.698970004
10,25.396,5000,3.698970004
10,27.58,1000,3
10,27.598,1000,3
10,29.941,500,2.698970004
10,29.257,500,2.698970004
10,31.52,100,2
10,32.568,100,2
10,32.128,50,1.698970004
10,31.978,50,1.698970004
10,34.341,10,1
10,34.085,10,1
