Pos,Name,Ct FAM,Amount FAM [Copies],Target FAM,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,"50,000",23.78,50000,vvha,,,,,
A2,"50,000",23.7,50000,vvha,,,,,
A3,"50,000",24.01,50000,vvha,,,,,
A4,"10,000",25.9,10000,vvha,,,,,
A5,"10,000",25.96,10000,vvha,,,,,
A6,"10,000",26.01,10000,vvha,,,,,
A7,"5,000",26.98,5000,vvha,,,,,
A8,"5,000",26.73,5000,vvha,,,,,
A9,"5,000",27.03,5000,vvha,,,,,
A10,"1,000",28.94,1000,vvha,,,,,
A11,"1,000",29.12,1000,vvha,,,,,
A12,"1,000",29.41,1000,vvha,,,,,
B1,500,30.19,500,vvha,,,,,
B2,500,30.7,500,vvha,,,,,
B3,500,30.51,500,vvha,,,,,
B4,100,32.41,100,vvha,,,,,
B5,100,32.39,100,vvha,,,,,
B6,100,32.67,100,vvha,,,,,
B7,50,33.37,50,vvha,,,,,
B8,50,33.46,50,vvha,,,,,
B9,50,33.48,50,vvha,,,,,
B10,10,35.07,10,vvha,,,,,
B11,10,35.62,10,vvha,,,,,
B12,10,36.55,10,vvha,,,,,
C1,H2O,-,-,,,,,,
C2,H2O,-,-,,,,,,
C3,E.coli,-,-,,,,,,
C4,Unknowns,,-,vvha,138,1/20/19,S1-B,415,1
C5,Unknowns,,-,vvha,138,1/20/19,S1-B,415,1
C6,Unknowns,,-,vvha,138,1/20/19,S1-B,415,10
C7,Unknowns,,-,vvha,139,1/20/19,S1-M,375,1
C8,Unknowns,,-,vvha,139,1/20/19,S1-M,375,1
C9,Unknowns,,-,vvha,139,1/20/19,S1-M,375,10
C10,Unknowns,36.61,5.4,vvha,140,1/20/19,S1-S,355,1
C11,Unknowns,,-,vvha,140,1/20/19,S1-S,355,1
C12,Unknowns,,-,vvha,140,1/20/19,S1-S,355,10
D1,Unknowns,35.48,12.1,vvha,141,1/20/19,S2-B,355,1
D2,Unknowns,,-,vvha,141,1/20/19,S2-B,355,1
D3,Unknowns,,-,vvha,141,1/20/19,S2-B,355,10
D4,Unknowns,36.07,7.92,vvha,142,1/20/19,S2-M,305,1
