"Pos","Name","CT","Amount..Copies.","Target","SampleIDNum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml"
"A3","UNKNOWN",30.255,,"ECOLI",58,"10/13/18",1,695,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.0926845285431,123.789705159668,3,41.2632350532225,110,4538.95585585448,6.53087173504242
"A4","UNKNOWN",30.53,,"ECOLI",58,"10/13/18",1,695,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.0085488449828,101.987945916115,3,33.9959819720383,110,3739.55801692421,5.38065901715714
"A5","UNKNOWN",,,"ECOLI",58,"10/13/18",1,695,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,,,3,,110,,
"A6","UNKNOWN",30.701,,"ECOLI",66,"10/13/18",9,500,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.9562317472053,90.4131805719159,3,30.1377268573053,110,3315.14995430358,6.63029990860717
"A7","UNKNOWN",30.848,,"ECOLI",66,"10/13/18",9,500,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.91125739999307,81.5187290465972,3,27.1729096821991,110,2989.0200650419,5.9780401300838
"A8","UNKNOWN",33.635,,"ECOLI",66,"10/13/18",9,500,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.05858049060194,11.4440696049827,3,38.1468986832755,110,4196.15885516031,8.39231771032062
"A9","UNKNOWN",29.029,,"ECOLI",95,"11/24/18",5,515,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.46777670325193,293.613961894386,3,97.871320631462,110,10765.8452694608,20.9045539212831
"A10","UNKNOWN",29.754,,"ECOLI",95,"11/24/18",5,515,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.24596444659296,176.183180859585,3,58.7277269531951,110,6460.04996485146,12.5437863395174
"A11","UNKNOWN",33.325,,"ECOLI",95,"11/24/18",5,515,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.15342435206991,14.2371923337854,3,47.4573077792846,110,5220.3038557213,10.1365123412064
"B3","UNKNOWN",30.863,,"ECOLI",59,"10/13/18",2,615,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.90666818088978,80.6618504550019,3,26.8872834850006,110,2957.60118335007,4.80910761520337
"B4","UNKNOWN",30.561,,"ECOLI",59,"10/13/18",2,615,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.999064458836,99.784815540616,3,33.2616051802053,110,3658.77656982259,5.94923019483348
"B5","UNKNOWN",36.372,,"ECOLI",59,"10/13/18",2,615,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.221200978221773,1.66418260508195,3,5.54727535027318,110,610.20028853005,0.992195591105772
"B6","UNKNOWN",31.064,,"ECOLI",67,"10/13/18",10,465,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.8451726449057,70.0120259206648,3,23.3373419735549,110,2567.10761709104,5.52066154213127
"B7","UNKNOWN",31.631,,"ECOLI",67,"10/13/18",10,465,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.67170016280137,46.9569805363145,3,15.6523268454382,110,1721.7559529982,3.70270097418968
"B8","UNKNOWN",34.524,,"ECOLI",67,"10/13/18",10,465,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.786592771746999,6.11776473532121,3,20.3925491177374,110,2243.18040295111,4.82404387731422
"B9","UNKNOWN",32.524,,"ECOLI",96,"11/24/18",6,505,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.39848865218556,25.0316024168278,3,8.34386747227594,110,917.825421950354,1.81747608307001
"B10","UNKNOWN",32.055,,"ECOLI",96,"11/24/18",6,505,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.5419782361484,34.8319859203636,3,11.6106619734545,110,1277.17281708,2.52905508332673
"B11","UNKNOWN",34.584,,"ECOLI",96,"11/24/18",6,505,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.768235895333841,5.86456623121742,3,19.5485541040581,110,2150.34095144639,4.25810089395325
"C3","UNKNOWN",33.019,,"ECOLI",60,"10/13/18",3,575,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.24704442177701,17.6621846896476,3,5.88739489654919,110,647.613438620411,1.12628424107897
"C4","UNKNOWN",33.165,,"ECOLI",60,"10/13/18",3,575,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.202376022505,15.9358789625754,3,5.31195965419181,110,584.315561961099,1.01620097732365
"C5","UNKNOWN",37.097,,"ECOLI",60,"10/13/18",3,575,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,-0.000611278437203964,0.99859346947539,3,3.3286448982513,110,366.150938807643,0.636784241404596
"C6","UNKNOWN",31.951,,"ECOLI",68,"10/13/18",11,470,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.5737968219312,37.4797617857466,3,12.4932539285822,110,1374.25793214404,2.92395304711498
"C7","UNKNOWN",31.753,,"ECOLI",68,"10/13/18",11,470,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.63437451409462,43.0898035486526,3,14.3632678495509,110,1579.95946345059,3.36161587968212
"C8","UNKNOWN",34.4,,"ECOLI",68,"10/13/18",11,470,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.82453031633419,6.67621503283782,3,22.2540501094594,110,2447.94551204053,5.20839470646922
"C9","UNKNOWN",30.573,,"ECOLI",97,"11/24/18",7,555,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.99539308355337,98.9448247341806,3,32.9816082447269,110,3627.97690691996,6.5368953277837
"C10","UNKNOWN",31.061,,"ECOLI",97,"11/24/18",7,555,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.84609048872636,70.1601467464923,3,23.3867155821641,110,2572.53871403805,4.63520489015865
"C11","UNKNOWN",33.375,,"ECOLI",97,"11/24/18",7,555,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.13812695505895,13.7444370030835,3,45.8147900102785,110,5039.62690113063,9.08040883086601
"D3","UNKNOWN",34.765,,"ECOLI",61,"10/13/18",4,590,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.712859318154153,5.16249112616831,3,1.72083037538944,110,189.291341292838,0.320832781852268
"D4","UNKNOWN",34.474,,"ECOLI",61,"10/13/18",4,590,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.801890168757964,6.33709428549728,3,2.11236476183243,110,232.360123801567,0.393830718307741
"D5","UNKNOWN",,,"ECOLI",61,"10/13/18",4,590,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,,,3,,110,,
"D6","UNKNOWN",28.82,,"ECOLI",69,"10/13/18",12,465,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.53171982275776,340.188652327619,3,113.39621744254,110,12473.5839186794,26.8249116530739
"D7","UNKNOWN",28.967,,"ECOLI",69,"10/13/18",12,465,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.48674547554553,306.722387138721,3,102.240795712907,110,11246.4875284198,24.1859946847737
"D8","UNKNOWN",32.372,,"ECOLI",69,"10/13/18",12,465,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.44499273909889,27.8607458829769,3,92.8691529432562,110,10215.6068237582,21.9690469328133
"D9","UNKNOWN",29.693,,"ECOLI",98,"11/24/18",8,545,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.26462727094633,183.919285437958,3,61.3064284793193,110,6743.70713272512,12.3737745554589
"D10","UNKNOWN",29.701,,"ECOLI",98,"11/24/18",8,545,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.26217968742458,182.885674103015,3,60.9618913676718,110,6705.8080504439,12.3042349549429
"D11","UNKNOWN",32.785,,"ECOLI",98,"11/24/18",8,545,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.31863623978832,20.8274566778327,3,69.4248555927755,110,7636.73411520531,14.0123561746886
"E3","UNKNOWN",30.72,,"ECOLI",62,"10/13/18",5,515,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.95041873634113,89.2110675351479,3,29.737022511716,110,3271.07247628876,6.35159704133739
"E4","UNKNOWN",30.403,,"ECOLI",62,"10/13/18",5,515,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.04740423339064,111.533218147743,3,37.177739382581,110,4089.5513320839,7.94087637297846
"E5","UNKNOWN",34.732,,"ECOLI",62,"10/13/18",5,515,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.722955600181389,5.2839122927435,3,17.6130409758117,110,1937.43450733928,3.76200875211511
"E6","UNKNOWN",28.423,,"ECOLI",91,"11/24/18",1,675,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.65318115502482,449.967508386887,3,149.989169462296,110,16498.8086408525,24.4426794679296
"E7","UNKNOWN",28.455,,"ECOLI",91,"11/24/18",1,675,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.6433908209378,439.937336290628,3,146.645778763543,110,16131.0356639897,23.897830613318
"E8","UNKNOWN",31.082,,"ECOLI",91,"11/24/18",1,675,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.83966558198175,69.129844817719,3,230.432816059063,110,25347.609766497,37.5520144688844
"E9","UNKNOWN",31.017,,"ECOLI",99,"11/24/18",9,575,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.85955219809601,72.3689377683277,3,24.1229792561092,110,2653.52771817201,4.6148308142122
"E10","UNKNOWN",30.99,,"ECOLI",99,"11/24/18",9,575,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.86781279248193,73.7586216762902,3,24.5862072254301,110,2704.48279479731,4.70344833877792
"E11","UNKNOWN",35.465,,"ECOLI",99,"11/24/18",9,575,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.498695760000657,3.15279519519382,3,10.5093173173127,110,1156.0249049044,2.01047809548591
"F3","UNKNOWN",29.306,,"ECOLI",63,"10/13/18",6,390,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.38302912381119,241.562282080908,3,80.5207606936359,110,8857.28367629995,22.7109837853845
"F4","UNKNOWN",29.575,,"ECOLI",63,"10/13/18",6,390,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.30072912789221,199.861493253201,3,66.6204977510671,110,7328.25475261739,18.790396801583
"F5","UNKNOWN",32.218,,"ECOLI",63,"10/13/18",6,390,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.49210872189265,31.0533688524169,3,103.511229508056,110,11386.2352458862,29.1954749894518
"F6","UNKNOWN",31.753,,"ECOLI",92,"11/24/18",2,565,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.63437451409462,43.0898035486526,3,14.3632678495509,110,1579.95946345059,2.79638843088601
"F7","UNKNOWN",31.744,,"ECOLI",92,"11/24/18",2,565,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.63712804555659,43.363871175376,3,14.4546237251253,110,1590.00860976378,2.81417453055537
"F8","UNKNOWN",34.367,,"ECOLI",92,"11/24/18",2,565,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.834626598361427,6.83323880252236,3,22.7774626750745,110,2505.5208942582,4.43455025532425
"F9","UNKNOWN",32.465,,"ECOLI",100,"11/24/18",10,485,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.41653958065849,26.0939352665215,3,8.69797842217382,110,956.777626439121,1.97273737410128
"F10","UNKNOWN",32.977,,"ECOLI",100,"11/24/18",10,485,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.25989423526622,18.1925775663275,3,6.06419252210918,110,667.06117743201,1.37538387099383
"F11","UNKNOWN",35.892,,"ECOLI",100,"11/24/18",10,485,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.368055989527026,2.33375891260432,3,7.77919637534772,110,855.711601288249,1.76435381708917
"G3","UNKNOWN",31.225,,"ECOLI",64,"10/13/18",7,490,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.7959150265304,62.5050384299842,3,20.8350128099947,110,2291.85140909942,4.67724777367229
"G4","UNKNOWN",31.499,,"ECOLI",64,"10/13/18",7,490,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.71208529091032,51.5329840054723,3,17.1776613351574,110,1889.54274686732,3.85620968748432
"G5","UNKNOWN",34.959,,"ECOLI",64,"10/13/18",7,490,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.653505417751612,4.50303598715739,3,15.0101199571913,110,1651.11319529104,3.36961876590009
"G6","UNKNOWN",34.272,,"ECOLI",93,"11/24/18",3,595,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.863691652682258,7.30620161942436,3,2.43540053980812,110,267.894059378893,0.450242116603182
"G7","UNKNOWN",33.665,,"ECOLI",93,"11/24/18",3,595,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.04940205239536,11.2047469396137,3,3.73491564653789,110,410.840721119167,0.69048860692297
"G8","UNKNOWN",36.467,,"ECOLI",93,"11/24/18",3,595,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.192135923900942,1.55645268826084,3,5.18817562753613,110,570.699319028975,0.959158519376428
