Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,22.892,50000.00,genbac,1,,,,1
A2,STANDARD,23.031,50000.00,genbac,1,,,,1
B1,STANDARD,25.289,10000.00,genbac,2,,,,1
B2,STANDARD,25.046,10000.00,genbac,2,,,,1
C1,STANDARD,26.371,5000.00,genbac,3,,,,1
C2,STANDARD,26.102,5000.00,genbac,3,,,,1
D1,STANDARD,28.531,1000.00,genbac,4,,,,1
D2,STANDARD,28.349,1000.00,genbac,4,,,,1
E1,STANDARD,29.762,500.00,genbac,5,,,,1
E2,STANDARD,29.714,500.00,genbac,5,,,,1
F1,STANDARD,32.281,100.00,genbac,6,,,,1
F2,STANDARD,32.006,100.00,genbac,6,,,,1
G1,STANDARD,33.899,50.00,genbac,7,,,,1
G2,STANDARD,33.479,50.00,genbac,7,,,,1
H1,STANDARD,36.158,10.00,genbac,8,,,,1
H2,STANDARD,35.851,10.00,genbac,8,,,,1
A3,UNKNOWN,30.796,,genbac,70,10/21/18,Site 1,495,1
A4,UNKNOWN,30.077,,genbac,70,10/21/18,Site 1,495,1
A5,UNKNOWN,32.944,,genbac,70,10/21/18,Site 1,495,10
A6,UNKNOWN,27.032,,genbac,78,10/21/18,Site 5,540,1
A7,UNKNOWN,27.11,,genbac,78,10/21/18,Site 5,540,1
A8,UNKNOWN,30.438,,genbac,78,10/21/18,Site 5,540,10
A9,UNKNOWN,26.897,,genbac,86,10/21/18,Site 11,505,1
A10,UNKNOWN,27.069,,genbac,86,10/21/18,Site 11,505,1
A11,UNKNOWN,30.719,,genbac,86,10/21/18,Site 11,505,10
B3,UNKNOWN,30.943,,genbac,71,10/21/18,Site 1,503,1
B4,UNKNOWN,30.701,,genbac,71,10/21/18,Site 1,503,1
B5,UNKNOWN,33.194,,genbac,71,10/21/18,Site 1,503,10
B6,UNKNOWN,30.189,,genbac,79,10/21/18,Site 7,560,1
B7,UNKNOWN,29.986,,genbac,79,10/21/18,Site 7,560,1
B8,UNKNOWN,33.221,,genbac,79,10/21/18,Site 7,560,10
B9,UNKNOWN,25.862,,genbac,87,10/21/18,Site 11,565,1
B10,UNKNOWN,26.107,,genbac,87,10/21/18,Site 11,565,1
B11,UNKNOWN,29.882,,genbac,87,10/21/18,Site 11,565,10
C3,UNKNOWN,31.308,,genbac,72,10/21/18,Site 1,515,1
C4,UNKNOWN,31.466,,genbac,72,10/21/18,Site 1,515,1
C5,UNKNOWN,33.961,,genbac,72,10/21/18,Site 1,515,10
C6,UNKNOWN,30.107,,genbac,80,10/21/18,Site 7,560,1
C7,UNKNOWN,30.011,,genbac,80,10/21/18,Site 7,560,1
C8,UNKNOWN,32.939,,genbac,80,10/21/18,Site 7,560,10
C9,UNKNOWN,29.92,,genbac,88,10/21/18,Site 13,565,1
C10,UNKNOWN,30.203,,genbac,88,10/21/18,Site 13,565,1
C11,UNKNOWN,34.014,,genbac,88,10/21/18,Site 13,565,10
D3,UNKNOWN,30.221,,genbac,73,10/21/18,Site 3,575,1
D4,UNKNOWN,30.333,,genbac,73,10/21/18,Site 3,575,1
D5,UNKNOWN,32.723,,genbac,73,10/21/18,Site 3,575,10
D6,UNKNOWN,27.418,,genbac,81,10/21/18,Site 7,550,1
D7,UNKNOWN,27.287,,genbac,81,10/21/18,Site 7,550,1
D8,UNKNOWN,30.821,,genbac,81,10/21/18,Site 7,550,10
D9,UNKNOWN,28.339,,genbac,89,10/21/18,Site 13,575,1
D10,UNKNOWN,28.521,,genbac,89,10/21/18,Site 13,575,1
