Pos,Name,CT,Amount [Copies],Target,SampleIDNum,Date,Location,Volume,DilutionFactor
A1,STANDARD,22.395,50000,entero,1,,,,1
A2,STANDARD,22.08,50000,entero,1,,,,1
B1,STANDARD,25.583,10000,entero,2,,,,1
B2,STANDARD,24.435,10000,entero,2,,,,1
C1,STANDARD,25.388,5000,entero,3,,,,1
C2,STANDARD,25.338,5000,entero,3,,,,1
D1,STANDARD,27.563,1000,entero,4,,,,1
D2,STANDARD,27.546,1000,entero,4,,,,1
E1,STANDARD,28.749,500,entero,5,,,,1
E2,STANDARD,28.563,500,entero,5,,,,1
F1,STANDARD,31.157,100,entero,6,,,,1
F2,STANDARD,31.057,100,entero,6,,,,1
G1,STANDARD,32.631,50,entero,7,,,,1
G2,STANDARD,31.878,50,entero,7,,,,1
H1,STANDARD,32.778,10,entero,8,,,,1
H2,STANDARD,34.524,10,entero,8,,,,1
A3,UNKNOWN,,,entero,102,11/29/18,Site 17,525,1
A4,UNKNOWN,,,entero,102,11/29/18,Site 17,525,1
A5,UNKNOWN,,,entero,102,11/29/18,Site 17,525,10
A6,UNKNOWN,33.76,,entero,110,11/29/18,Site 11,425,1
A7,UNKNOWN,34.147,,entero,110,11/29/18,Site 11,425,1
A8,UNKNOWN,37.303,,entero,110,11/29/18,Site 11,425,10
A9,UNKNOWN,34.535,,entero,118,11/29/18,Site 5,385,1
A10,UNKNOWN,34.738,,entero,118,11/29/18,Site 5,385,1
A11,UNKNOWN,43.815,,entero,118,11/29/18,Site 5,385,10
B3,UNKNOWN,,,entero,103,11/29/18,Site 17,470,1
B4,UNKNOWN,36.646,,entero,103,11/29/18,Site 17,470,1
B5,UNKNOWN,,,entero,103,11/29/18,Site 17,470,10
B6,UNKNOWN,34.769,,entero,111,11/29/18,Site 9,395,1
B7,UNKNOWN,34.533,,entero,111,11/29/18,Site 9,395,1
B8,UNKNOWN,37.751,,entero,111,11/29/18,Site 9,395,10
B9,UNKNOWN,33.049,,entero,119,11/29/18,Site 5,375,1
B10,UNKNOWN,34.902,,entero,119,11/29/18,Site 5,375,1
B11,UNKNOWN,35.993,,entero,119,11/29/18,Site 5,375,10
C3,UNKNOWN,36.625,,entero,104,11/29/18,Site 17,390,1
C4,UNKNOWN,36.153,,entero,104,11/29/18,Site 17,390,1
C5,UNKNOWN,,,entero,104,11/29/18,Site 17,390,10
C6,UNKNOWN,34.138,,entero,112,11/29/18,Site 9,395,1
C7,UNKNOWN,34.985,,entero,112,11/29/18,Site 9,395,1
C8,UNKNOWN,,,entero,112,11/29/18,Site 9,395,10
C9,UNKNOWN,34.6,,entero,120,11/29/18,Site 3,405,1
C10,UNKNOWN,34.208,,entero,120,11/29/18,Site 3,405,1
C11,UNKNOWN,37.394,,entero,120,11/29/18,Site 3,405,10
D3,UNKNOWN,37.219,,entero,105,11/29/18,Site 13,445,1
D4,UNKNOWN,37.851,,entero,105,11/29/18,Site 13,445,1
D5,UNKNOWN,38.323,,entero,105,11/29/18,Site 13,445,10
D6,UNKNOWN,32.476,,entero,113,11/29/18,Site 9,385,1
D7,UNKNOWN,32.868,,entero,113,11/29/18,Site 9,385,1
D8,UNKNOWN,36.528,,entero,113,11/29/18,Site 9,385,10
D9,UNKNOWN,36.963,,entero,121,11/29/18,Site 3,405,1
D10,UNKNOWN,35.908,,entero,121,11/29/18,Site 3,405,1
D11,UNKNOWN,36.892,,entero,121,11/29/18,Site 3,405,10
E3,UNKNOWN,38.266,,entero,106,11/29/18,Site 13,385,1
E4,UNKNOWN,37.996,,entero,106,11/29/18,Site 13,385,1
E5,UNKNOWN,,,entero,106,11/29/18,Site 13,385,10
E6,UNKNOWN,32.891,,entero,114,11/29/18,Site 7,535,1
E7,UNKNOWN,33.891,,entero,114,11/29/18,Site 7,535,1
E8,UNKNOWN,36.485,,entero,114,11/29/18,Site 7,535,10
E9,UNKNOWN,36.954,,entero,122,11/29/18,Site 3,370,1
E10,UNKNOWN,35.948,,entero,122,11/29/18,Site 3,370,1
E11,UNKNOWN,,,entero,122,11/29/18,Site 3,370,10
F3,UNKNOWN,35.505,,entero,107,11/29/18,Site 13,380,1
F4,UNKNOWN,34.663,,entero,107,11/29/18,Site 13,380,1
F5,UNKNOWN,,,entero,107,11/29/18,Site 13,380,10
F6,UNKNOWN,33.864,,entero,115,11/29/18,Site 7,465,1
F7,UNKNOWN,33.711,,entero,115,11/29/18,Site 7,465,1
F8,UNKNOWN,38.708,,entero,115,11/29/18,Site 7,465,10
F9,UNKNOWN,35.949,,entero,123,11/29/18,Site 1,395,1
F10,UNKNOWN,36.302,,entero,123,11/29/18,Site 1,395,1
F11,UNKNOWN,37.787,,entero,123,11/29/18,Site 1,395,10
G3,UNKNOWN,36.056,,entero,108,11/29/18,Site 11,405,1
G4,UNKNOWN,36.056,,entero,108,11/29/18,Site 11,405,1
G5,UNKNOWN,,,entero,108,11/29/18,Site 11,405,10
G6,UNKNOWN,32.701,,entero,116,11/29/18,Site 7,430,1
G7,UNKNOWN,32.541,,entero,116,11/29/18,Site 7,430,1
G8,UNKNOWN,36.814,,entero,116,11/29/18,Site 7,430,10
G9,UNKNOWN,36.259,,entero,124,11/29/18,Site 1,390,1
G10,UNKNOWN,37.694,,entero,124,11/29/18,Site 1,390,1
G11,UNKNOWN,36.933,,entero,124,11/29/18,Site 1,390,10
H3,UNKNOWN,35.921,,entero,109,11/29/18,Site 11,415,1
H4,UNKNOWN,35.64,,entero,109,11/29/18,Site 11,415,1
H5,UNKNOWN,39.679,,entero,109,11/29/18,Site 11,415,10
H6,UNKNOWN,34.726,,entero,117,11/29/18,Site 5,450,1
H7,UNKNOWN,34.725,,entero,117,11/29/18,Site 5,450,1
H8,UNKNOWN,38.085,,entero,117,11/29/18,Site 5,450,10
H9,UNKNOWN,35.9,,entero,125,11/29/18,Site 1,380,1
H10,UNKNOWN,35.667,,entero,125,11/29/18,Site 1,380,1
H11,UNKNOWN,42.126,,entero,125,11/29/18,Site 1,380,10
