"Pos","Name","CT","Amount..Copies.","Target","SampleINum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml"
"A3","UNKNOWN",24.276,,"genbac","126","12/15/18",1,530,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.40864975659659,25624.1670301311,3,8541.38901004369,110,939552.791104806,1772.74111529209
"A4","UNKNOWN",23.996,,"genbac","126","12/15/18",1,530,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.48799115576332,30760.3417187417,3,10253.4472395806,110,1127879.19635386,2128.07395538465
"A5","UNKNOWN",27.283,,"genbac","126","12/15/18",1,530,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.55657980197395,3602.29936865545,3,12007.6645621848,110,1320843.10184033,2492.15679592516
"A6","UNKNOWN",26.235,,"genbac","134","12/15/18",9,500,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.85354332456941,7137.45403747421,3,2379.15134582474,110,261706.648040721,523.413296081442
"A7","UNKNOWN",26.443,,"genbac","134","12/15/18",9,500,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.79460399947413,6231.66357739099,3,2077.22119246366,110,228494.331171003,456.988662342006
"A8","UNKNOWN",29.803,,"genbac","134","12/15/18",9,500,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.84250720947344,695.836505787196,3,2319.45501929065,110,255140.052121972,510.280104243944
"A9","UNKNOWN",26.547,,"genbac","166","1/26/19",5,370,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.76513433692649,5822.83303072116,3,1940.94434357372,110,213503.877793109,577.037507548943
"A10","UNKNOWN",26.299,,"genbac","166","1/26/19",5,370,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.83540814761701,6845.54685881974,3,2281.84895293991,110,251003.384823391,678.387526549704
"A11","UNKNOWN",30.547,,"genbac","166","1/26/19",5,370,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.63168577740186,428.238567284723,3,1427.46189094908,110,157020.808004398,424.38056217405
"B3","UNKNOWN",25.768,,"genbac","127","12/15/18",2,475,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.98587344389391,9679.95735195312,3,3226.65245065104,110,354931.769571615,747.224778045504
