"Pos","Name","CT","Amount..Copies.","Target","SampleIDNum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml"
"A3","UNKNOWN",29.975,,"entero",208,"2/23/19",1,555,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,2.26226293986282,182.920735883366,3,60.9735786277887,110,6707.09364905675,12.0848534217239
"A4","UNKNOWN",30.401,,"entero",208,"2/23/19",1,555,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,2.12956266877098,134.760517098065,3,44.9201723660217,110,4941.21896026239,8.90309722569799
"A5","UNKNOWN",32.995,,"entero",208,"2/23/19",1,555,10,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.32152392883615,20.9664029817701,3,69.8880099392336,110,7687.68109331569,13.8516776456139
"A6","UNKNOWN",32.188,,"entero",216,"2/23/19",9,440,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.57290683674957,37.4030344055656,3,12.4676781351885,110,1371.44459487074,3.11691953379714
"A7","UNKNOWN",32.162,,"entero",216,"2/23/19",9,440,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.58100591432794,38.1071012876226,3,12.7023670958742,110,1397.26038054616,3.17559177396855
"A8","UNKNOWN",,,"entero",216,"2/23/19",9,440,10,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,,,3,,110,,
"A9","UNKNOWN",32.804,,"entero",248,"3/23/19",5,385,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.38102099873883,24.044790570841,3,8.01493019028034,110,881.642320930838,2.28998005436581
"A10","UNKNOWN",32.759,,"entero",248,"3/23/19",5,385,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.39503863300909,24.8335400418967,3,8.27784668063222,110,910.563134869544,2.36509905160921
"A11","UNKNOWN",,,"entero",248,"3/23/19",5,385,10,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,,,3,,110,,
"B3","UNKNOWN",29.256,,"entero",209,"2/23/19",2,495,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,2.48623358520328,306.361075309808,3,102.120358436603,110,11233.2394280263,22.6934129859117
"B4","UNKNOWN",29.094,,"entero",209,"2/23/19",2,495,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,2.53669706857623,344.109821697655,3,114.703273899218,110,12617.360128914,25.4896164220485
"B5","UNKNOWN",31.205,,"entero",209,"2/23/19",2,495,10,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.87911426980891,75.7032056033705,3,252.344018677902,110,27757.8420545692,56.0764485950892
"B6","UNKNOWN",32.658,,"entero",217,"2/23/19",10,405,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.42650043437124,26.6993343753359,3,8.89977812511198,110,978.975593762317,2.41722368830202
"B7","UNKNOWN",32.774,,"entero",217,"2/23/19",10,405,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.39036608825234,24.5677898333472,3,8.18926327778241,110,900.818960556065,2.22424434705201
"B8","UNKNOWN",,,"entero",217,"2/23/19",10,405,10,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,,,3,,110,,
"B9","UNKNOWN",32.581,,"entero",249,"3/23/19",6,265,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.45048616412258,28.2153969224303,3,9.40513230747676,110,1034.56455382244,3.90401718423563
"B10","UNKNOWN",33.416,,"entero",249,"3/23/19",6,265,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.19038117266322,15.5017658486437,3,5.16725528288124,110,568.398081116936,2.14489841930919
"B11","UNKNOWN",,,"entero",249,"3/23/19",6,265,10,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,,,3,,110,,
"C3","UNKNOWN",32.943,,"entero",210,"2/23/19",3,460,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.3377220839929,21.7631664666734,3,7.25438882222446,110,797.982770444691,1.73474515314063
"C4","UNKNOWN",33.49,,"entero",210,"2/23/19",3,460,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.16732995186323,14.7004270703249,3,4.90014235677496,110,539.015659245246,1.17177317227227
"C5","UNKNOWN",36.687,,"entero",210,"2/23/19",3,460,10,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,0.171454912706845,1.48407179969617,3,4.94690599898722,110,544.159659888594,1.18295578236651
"C6","UNKNOWN",32.128,,"entero",218,"2/23/19",11,395,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.59159701577659,39.0478400595684,3,13.0159466865228,110,1431.75413551751,3.62469401396838
"C7","UNKNOWN",32.036,,"entero",218,"2/23/19",11,395,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,1.62025529028468,41.7114502838066,3,13.9038167612689,110,1529.41984373958,3.8719489714926
"C8","UNKNOWN",,,"entero",218,"2/23/19",11,395,10,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,,,3,,110,,
"C9","UNKNOWN",29.523,,"entero",250,"3/23/19",7,450,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,2.40306228853304,252.966078613594,3,84.3220262045315,110,9275.42288249846,20.6120508499966
"C10","UNKNOWN",29.206,,"entero",250,"3/23/19",7,450,1,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,2.50180873439246,317.547526639802,3,105.849175546601,110,11643.4093101261,25.8742429113913
"C11","UNKNOWN",,,"entero",250,"3/23/19",7,450,10,1,-3.21024212305613,37.2374117829764,0.995563558222098,104.881612612782,,,3,,110,,
