"Pos","Name","CT","Amount..Copies.","Target","SampleIDNum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml","averaged"
"A3","UNKNOWN",31.301,,"genbac",174,"2/18/19","S1-B",415,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.21696590544627,164.803300660842,3,54.9344335536142,110,6042.78769089756,14.5609341949339,20.0848742763782
"A4","UNKNOWN",30.936,,"genbac",174,"2/18/19","S1-B",415,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.32472886663884,211.216998428236,3,70.4056661427453,110,7744.62327570199,18.6617428330168,11.2507271239436
"A5","UNKNOWN",33.778,,"genbac",174,"2/18/19","S1-B",415,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,1.48565397428458,30.5952477477035,3,101.984159159012,110,11218.2575074913,27.0319458011838,75.1583632012778
"A6","UNKNOWN",26.255,,"genbac",182,"2/18/19","S3-S",405,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.70675193880995,5090.40033500933,3,1696.80011166978,110,186648.012283675,460.859289589322,16.2597542904265
"A7","UNKNOWN",26.049,,"genbac",182,"2/18/19","S3-S",405,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.7675715826611,5855.60243432672,3,1951.86747810891,110,214705.42259198,530.136845906123,50.3452672136343
"A8","UNKNOWN",29.848,,"genbac",182,"2/18/19","S3-S",405,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.64595106328959,442.538503898513,3,1475.12834632838,110,162264.118096121,400.652143447214,496.241450768997
"A9","UNKNOWN",27.765,,"genbac",190,"2/18/19","S6-M",375,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.2609380445612,1823.63552816715,3,607.878509389049,110,66866.6360327953,178.311029420788,11.1240299133857
"A10","UNKNOWN",27.839,,"genbac",190,"2/18/19","S6-M",375,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.23909021133312,1734.16417966344,3,578.054726554479,110,63586.0199209927,169.562719789314,61.0690828274738
"A11","UNKNOWN",31.406,,"genbac",190,"2/18/19","S6-M",375,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.18596560154155,153.449543769521,3,511.498479231736,110,56264.832715491,150.039553907976,463.882759647553
"B3","UNKNOWN",32.725,,"genbac",175,"2/18/19","S1-M",375,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,1.79654273630043,62.5954457293447,3,20.8651485764482,110,2295.16634340931,6.12044358242482,107.488663012895
"B4","UNKNOWN",31.844,,"genbac",175,"2/18/19","S1-M",375,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.05665004811046,113.93313512041,3,37.9777117068033,110,4177.54828774836,11.140128767329,153.177441849007
"B5","UNKNOWN",34.654,,"genbac",175,"2/18/19","S1-M",375,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,1.2270228674224,16.8664183180331,3,56.2213943934438,110,6184.35338327882,16.4916090220769,341.423114021239
"B6","UNKNOWN",28.615,,"genbac",183,"2/18/19","S4-B",390,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.00998320342781,1023.25341664034,3,341.084472213446,110,37519.2919434791,96.2033126755873,113.810696043747
"B7","UNKNOWN",28.71,,"genbac",183,"2/18/19","S4-B",390,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.98193530941878,959.257734092895,3,319.752578030965,110,35172.7835834062,90.1866245728363,119.509756347333
"B8","UNKNOWN",31.492,,"genbac",183,"2/18/19","S4-B",390,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.16057487643864,144.735436904188,3,482.451456347292,110,53069.6601982021,136.076051790262,287.80404589257
"B9","UNKNOWN",27.581,,"genbac",191,"2/18/19","S6-S",320,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.31526238664185,2066.62836854749,3,688.876122849164,110,75776.373513408,236.8011672294,182.927426525184
"B10","UNKNOWN",27.526,,"genbac",191,"2/18/19","S6-S",320,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.33150064106812,2145.36228261247,3,715.120760870825,110,78663.2836957907,245.822761549346,165.971101039359
"B11","UNKNOWN",31.025,,"genbac",191,"2/18/19","S6-S",320,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.29845241856723,198.81649745172,3,662.721658172398,110,72899.3823989638,227.810569996762,236.811499591836
"C3","UNKNOWN",29.037,,"genbac",176,"2/18/19","S1-S",365,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.88539150582981,768.053558829528,3,256.017852943176,110,28161.9638237494,77.1560652705462,37.8396627461431
"C4","UNKNOWN",29.017,,"genbac",176,"2/18/19","S1-S",365,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.89129632562119,778.567598166558,3,259.522532722186,110,28547.4785994405,78.2122701354533,150.866685652016
"C5","UNKNOWN",32.565,,"genbac",176,"3/22/19","S1-S",365,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,1.84378129463142,69.7880871332982,3,232.626957110994,110,25588.9652822093,70.1067541978338,201.706779420139
"C6","UNKNOWN",27.824,,"genbac",184,"2/18/19","S4-M",380,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.24351882617665,1751.938377118,3,583.979459039332,110,64237.7404943266,169.046685511386,126.259278621398
"C7","UNKNOWN",28.094,,"genbac",184,"2/18/19","S4-M",380,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.1638037589931,1458.15522701175,3,486.051742337251,110,53465.6916570976,140.699188571309,115.27152039303
"C8","UNKNOWN",31.389,,"genbac",184,"2/18/19","S4-M",380,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.19098469836422,155.233231517575,3,517.444105058584,110,56918.8515564443,149.786451464327,112.114344940151
"C9","UNKNOWN",30.275,,"genbac",192,"2/18/19","S7-B",335,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.51988316074376,331.042048487836,3,110.347349495945,110,12138.208444554,36.2334580434448,20.0848742763782
"C10","UNKNOWN",30.28,,"genbac",192,"2/18/19","S7-B",335,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.51840695579591,329.918717827661,3,109.972905942554,110,12097.0196536809,36.1105064288982,11.2507271239436
"C11","UNKNOWN",33.474,,"genbac",192,"2/18/19","S7-B",335,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,1.57540723511347,37.6189989862879,3,125.396663287626,110,13793.6329616389,41.1750237660862,75.1583632012778
"D3","UNKNOWN",31.608,,"genbac",177,"2/18/19","S2-B",370,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.12632692164867,133.760203754591,3,44.5867345848637,110,4904.54080433501,13.2555156873919,16.2597542904265
"D4","UNKNOWN",31.726,,"genbac",177,"2/18/19","S2-B",370,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.09148848487957,123.449258272804,3,41.1497527576013,110,4526.47280333614,12.2337102792869,50.3452672136343
"D5","UNKNOWN",34.166,,"genbac",177,"2/18/19","S2-B",370,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,1.37110047033193,23.5017645128242,3,78.3392150427475,110,8617.31365470222,23.2900369046006,496.241450768997
"D6","UNKNOWN",27.543,,"genbac",185,"2/18/19","S4-S",215,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.32648154424546,2120.71126954508,3,706.903756515025,110,77759.4132166528,361.67168937978,11.1240299133857
"D7","UNKNOWN",27.527,,"genbac",185,"2/18/19","S4-S",215,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.33120540007856,2143.9043234151,3,714.634774471701,110,78609.8251918871,365.627093915754,61.0690828274738
"D8","UNKNOWN",31.22,,"genbac",185,"2/18/19","S4-S",215,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.24088042560133,174.132736732253,3,580.442455774176,110,63848.6701351594,296.970558768183,463.882759647553
"D9","UNKNOWN",28.391,,"genbac",193,"2/18/19","S7-M",340,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.0761171850912,1191.56348261278,3,397.187827537594,110,43690.6610291353,128.501944203339,107.488663012895
"D10","UNKNOWN",28.328,,"genbac",193,"2/18/19","S7-M",340,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.09471736743402,1243.70496314856,3,414.568321049519,110,45602.5153154471,134.125045045433,153.177441849007
"D11","UNKNOWN",31.203,,"genbac",193,"2/18/19","S7-M",340,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.245899522424,176.156844601293,3,587.189482004311,110,64590.8430204742,189.973067707277,341.423114021239
"E3","UNKNOWN",30.002,,"genbac",178,"2/18/19","S2-M",350,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.60048395089601,398.551043815569,3,132.850347938523,110,14613.5382732375,41.7529664949644,113.810696043747
"E4","UNKNOWN",30.074,,"genbac",178,"2/18/19","S2-M",350,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.57922659964707,379.512949886301,3,126.504316628767,110,13915.4748291644,39.7584995118982,119.509756347333
"E5","UNKNOWN",32.639,,"genbac",178,"2/18/19","S2-M",350,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,1.82193346140334,66.3641385597656,3,221.213795199219,110,24333.5174719141,69.5243356340402,287.80404589257
"E6","UNKNOWN",28.273,,"genbac",186,"2/18/19","S5-B",435,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.1109556218603,1291.08733783238,3,430.362445944126,110,47339.8690538539,108.827285181273,182.927426525184
"E7","UNKNOWN",28.344,,"genbac",186,"2/18/19","S5-B",435,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.08999351160092,1230.25039062231,3,410.083463540768,110,45109.1809894845,103.699266642493,165.971101039359
"E8","UNKNOWN",31.411,,"genbac",186,"2/18/19","S5-B",435,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.18448939659371,152.928840801141,3,509.762802670469,110,56073.9082937516,128.905536307475,236.811499591836
"E9","UNKNOWN",27.735,,"genbac",194,"2/18/19","S7-S",350,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.26979527424827,1861.20955850738,3,620.403186169127,110,68244.350478604,194.983858510297,37.8396627461431
"E10","UNKNOWN",27.705,,"genbac",194,"2/18/19","S7-S",350,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.27865250393533,1899.55776095285,3,633.185920317615,110,69650.4512349377,199.001289242679,150.866685652016
"E11","UNKNOWN",31.005,,"genbac",194,"2/18/19","S7-S",350,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.3043572383586,201.538136393467,3,671.793787978222,110,73897.3166776044,211.135190507441,201.706779420139
"F3","UNKNOWN",26.976,,"genbac",179,"2/18/19","S2-S",310,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.49388318533091,3118.05079134841,3,1039.3502637828,110,114328.529016109,368.801706503576,126.259278621398
"F4","UNKNOWN",26.922,,"genbac",179,"2/18/19","S2-S",310,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.50982619876762,3234.64183204748,3,1078.21394401583,110,118603.533841741,382.592044650777,115.27152039303
"F5","UNKNOWN",29.344,,"genbac",179,"2/18/19","S2-S",310,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.79475252203222,623.379508247231,3,2077.93169415744,110,228572.486357318,737.330601152639,112.114344940151
"F6","UNKNOWN",28.231,,"genbac",187,"2/18/19","S5-M",420,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.12335574342219,1328.48221113398,3,442.827403711325,110,48711.0144082458,115.978605733918,20.0848742763782
"F7","UNKNOWN",28.21,,"genbac",187,"2/18/19","S5-M",420,1,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,3.12955580420313,1347.5838705626,3,449.194623520866,110,49411.4085872953,117.646210922132,11.2507271239436
"F8","UNKNOWN",31.509,,"genbac",187,"2/18/19","S5-M",420,10,1,-3.38706356952951,38.810004453226,0.997949544572189,97.3517535219317,2.15555577961597,143.072372732995,3,476.907909109984,110,52459.8700020982,124.904452385948,75.1583632012778
