"Pos","Name","CT","Amount..Copies.","Target","SampleIDNum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml"
"A3","UNKNOWN",31.301,,"genbac",174,"2/18/19","S1-B",415,"1",9,-3.40670208802217,38.8805340066736,0.998384691753795,96.5798603661942,2.22488900139609,167.837499795611,3,55.9458332652036,110,6154.04165917239,14.8290160461985
"A4","UNKNOWN",30.936,,"genbac",174,"2/18/19","S1-B",415,"1",9,-3.40670208802217,38.8805340066736,0.998384691753795,96.5798603661942,2.33203074451573,214.798252843454,3,71.5994176144846,110,7875.93593759331,18.978158885767
"A5","UNKNOWN",33.778,,"genbac",174,"2/18/19","S1-B",415,"10",9,-3.40670208802217,38.8805340066736,0.998384691753795,96.5798603661942,1.49779284329379,31.4624720896292,3,104.874906965431,110,11536.2397661974,27.798168111319
"A6","UNKNOWN",26.255,,"genbac",182,"2/18/19","S3-S",405,"1",9,-3.40670208802217,38.8805340066736,0.998384691753795,96.5798603661942,3.70608690764728,5082.61141666822,3,1694.20380555607,110,186362.418611168,460.154120027575
"A7","UNKNOWN",26.049,,"genbac",182,"2/18/19","S3-S",405,"1",9,-3.40670208802217,38.8805340066736,0.998384691753795,96.5798603661942,3.76655594622987,5841.92458476098,3,1947.30819492033,110,214203.901441236,528.898522077126
"A8","UNKNOWN",29.848,,"genbac",182,"2/18/19","S3-S",405,"10",9,-3.40670208802217,38.8805340066736,0.998384691753795,96.5798603661942,2.65140120071892,448.127092286171,3,1493.75697428724,110,164313.267171596,405.711770794064
"A9","UNKNOWN",27.765,,"genbac",190,"2/18/19","S6-M",375,"1",9,-3.40670208802217,38.8805340066736,0.998384691753795,96.5798603661942,3.26284298405646,1831.65208244338,3,610.550694147793,110,67160.5763562573,179.094870283353
"A10","UNKNOWN",27.839,,"genbac",190,"2/18/19","S6-M",375,"1",9,-3.40670208802217,38.8805340066736,0.998384691753795,96.5798603661942,3.24112109641028,1742.29261746189,3,580.764205820631,110,63884.0626402694,170.357500374052
"A11","UNKNOWN",31.406,,"genbac",190,"2/18/19","S6-M",375,"10",9,-3.40670208802217,38.8805340066736,0.998384691753795,96.5798603661942,2.1940674040603,156.339026758578,3,521.130089195261,110,57324.3098114787,152.864826163943
"B3","UNKNOWN",32.725,,"genbac",175,"2/18/19","S1-M",375,"1",9,-3.40670208802217,38.8805340066736,0.998384691753795,96.5798603661942,1.80688943371839,64.1046352925472,3,21.3682117641824,110,2350.50329406006,6.26800878416017
